,dealer,msrp_total,msrp_base,model_title,color,VIN
0,04426,37101.0,37101.0,RAV4 XLE Premium Hybrid AWD,Ruby Flare Pearl [extra_cost_color],4T3B6RFV9MU054106
0,04426,37926.0,37926.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,4T3E6RFV9MU054247
0,04426,39979.0,39979.0,RAV4 Limited TV-AWD 2.5L 4-Cyl.,Silver Sky Metallic,2T3N1RFV3MC230614
0,04426,39979.0,39979.0,RAV4 Limited TV-AWD 2.5L 4-Cyl.,Silver Sky Metallic,2T3N1RFV2MC229017
0,04426,41669.0,41669.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint,4T3D6RFV1MU052827
0,04426,41798.0,41798.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint,4T3D6RFV2MU051766
0,04226,33769.0,33769.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,4T3RWRFV6MU032871
0,04226,39913.0,39913.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,JTME6RFV4MD515416
0,04412,33869.0,33869.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint,JTMRWRFV0MD124524
0,04412,37926.0,37926.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,4T3E6RFV6MU053556
0,04213,31064.0,31064.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMMWRFV4MD124486
0,04213,41419.0,41419.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint,4T3D6RFV9MU054518
0,04119,40108.0,40108.0,RAV4 Limited TV-AWD 2.5L 4-Cyl.,Midnight Black Metallic,2T3N1RFV6MC231434
0,04454,31753.0,31753.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMMWRFV8MD124684
0,04454,32071.0,32071.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3MWRFV8MU032378
0,04454,34568.0,34568.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFV2MU032897
0,04143,31489.0,31489.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Ruby Flare Pearl [extra_cost_color],JTMMWRFVXMD124721
0,04143,32844.0,32844.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3RWRFV9MU033092
0,04143,35359.0,35359.0,RAV4 XLE Premium Hybrid AWD,Silver Sky Metallic,4T3B6RFV7MU054489
0,04143,41354.0,41354.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3D6RFV9MU054762
0,04256,33009.0,33009.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,JTMRWRFV9MD124859
0,04104,33869.0,33869.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,JTMRWRFV1MD125312
0,04317,31279.0,31279.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3MWRFV2MU032912
0,04317,31279.0,31279.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3MWRFV6MU032430
0,04317,31279.0,31279.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3MWRFV4MU032331
0,04317,31379.0,31379.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,JTMMWRFV2MD124440
0,04317,34184.0,34184.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,JTMRWRFV6MD125533
0,04317,34609.0,34609.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Ruby Flare Pearl [extra_cost_color],JTMRWRFV7MD125282
0,04317,36924.0,36924.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,4T3E6RFV1MU054291
0,04317,39784.0,39784.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,JTME6RFV7MD515295
0,04317,41669.0,41669.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,4T3D6RFV7MU054193
0,04317,41669.0,41669.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,4T3D6RFV0MU051569
0,04317,42094.0,42094.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl [extra_cost_color],4T3D6RFV9MU053658
0,04346,30964.0,30964.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3MWRFV9MU032633
0,04346,30964.0,30964.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3MWRFV7MU032775
0,04346,32844.0,32844.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3RWRFVXMU032971
0,04346,32844.0,32844.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,4T3RWRFV6MU032966
