,dealer,msrp_total,msrp_base,model_title,color,VIN
0,04077,39784.0,39784.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint / Midnight Black Metallic roof,JTME6RFV8MJ009329
0,04421,30964.0,30964.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blue Flame,4T3MWRFV6MU032637
0,04421,31443.0,31443.0,RAV4 XLE AWD 2.5L 4-Cyl.,Magnetic Gray Metallic,2T3P1RFV2MW228618
0,04421,38194.0,38194.0,RAV4 XLE Premium Hybrid AWD,Midnight Black Metallic,4T3B6RFV2MU054450
0,04487,31782.0,31782.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,4T3MWRFV9MU032549
0,04487,32207.0,32207.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Ruby Flare Pearl [extra_cost_color],4T3MWRFV1MU032450
0,04487,33922.0,33922.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMRWRFVXMD125499
0,04487,34051.0,34051.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMRWRFV4MD125496
0,04487,35270.0,35270.0,RAV4 XLE Premium AWD 2.5L 4-Cyl.,Silver Sky Metallic,2T3A1RFV7MC236219
0,04774,39580.0,39580.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic/Midnight Black Metallic roof,JTME6RFV3MD515360
0,04185,35884.0,35884.0,RAV4 XLE Premium Hybrid AWD,Blizzard Pearl [extra_cost_color],JTMB6RFV9MD038890
0,04253,33324.0,33324.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,JTMRWRFV6MD125158
0,04017,31554.0,31554.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMMWRFV2MD124471
0,04072,32944.0,32944.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic,JTMRWRFV6MD125600
0,04072,35359.0,35359.0,RAV4 XLE Premium Hybrid AWD,Magnetic Gray Metallic,4T3B6RFV8MU054551
0,04070,34384.0,34384.0,RAV4 XLE Premium Hybrid AWD,Magnetic Gray Metallic,JTMB6RFV4MD039090
0,04070,35459.0,35459.0,RAV4 XLE Premium Hybrid AWD,Silver Sky Metallic,JTMB6RFV5MD039079
0,04039,32032.0,32032.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMMWRFVXMD124752
0,04039,32032.0,32032.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMMWRFV3MD125760
0,04039,32032.0,32032.0,RAV4 LE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMMWRFV4MD124049
0,04039,33912.0,33912.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,JTMRWRFV7MD125539
0,04039,34837.0,34837.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Super White,JTMRWRFV3MD123609
0,27015,40144.0,40144.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3D6RFV6MU052726
0,27013,33138.0,33138.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,JTMRWRFV8MD122763
0,27013,35264.0,35264.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Lunar Rock,JTMRWRFV5MD124390
0,27013,38644.0,38644.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint / Midnight Black Metallic roof,JTME6RFV4MJ009053
0,27013,40927.0,40927.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl [extra_cost_color],JTMD6RFV8MD037609
